# Month and number of downloads of pcb-4.0.0.tar.gz
2017-01 419
2017-02 551
2017-03 578
2017-04 474
2017-05 186
2017-06 32
2017-07 25
2017-08 14
2017-09 13
2017-10 17
2017-11 9
2017-12 8
2018-01 3
2018-02 0
2018-03 2
2018-04 2
2018-05 2
2018-06 0
2018-07 2
2018-08 6
2018-09 0
2018-10 2
2018-11	0
2018-12	0
2019-01	0
2019-02	0
2019-03	1
2019-04	0
2019-05	1
2019-06	3
2019-07	2
2019-08	2
2019-09	2
2019-10	0
2019-11	1
2019-12	2
2020-01	0
2020-02	2
2020-03	0
2020-04	2
2020-05	0
2020-06	2
2020-07	0
2020-08	1
2020-09	3
2020-10	1
2020-11	1
2020-12	1
2021-01	0
2021-02	1
2021-03	0
2021-04	1
2021-05	3
2021-06	1
2021-07	1
2021-08	2
2021-09	1
2021-10	1
2021-11	0
2021-12	2
2022-01	0
2022-02	0
2022-03	0
2022-04	0
2022-05	0
2022-06	1
2022-07	1
2022-08	0
2022-09	9
2022-10	4
2022-11	8
2022-12	1
2023-01	4
2023-02	2
2023-03	3
2023-04	3
2023-05	0
2023-06	0
2023-07	1
2023-08	1
2023-09	0
2023-10	0
2023-11	0
2023-12	1
2024-01	0
2024-02	1
2024-03	1
2024-04	1
2024-05	0
2024-06	0
2024-07	0
2024-08	1
2024-09	3
2024-10	1
2024-11	1
2024-12	1
2025-01	1
2025-02	0
2025-03	3
2025-04	1
2025-05	1
2025-06	0
2025-07	0
2025-08	0
2025-09	0
2025-10	0
2025-11	0
2025-12	1
2026-01	1
2026-02	1
e
# EOF
